_system_object_id,preview_url,original_download_url,original_url
259476,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/117000/117460/eb05d3fe268c7e24777a76902985cd871108e12c/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/117000/117460/b6eb7c9209a0aec31c94f6cf917185aada16eed6/image/jpeg/217_0135_R1_15.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/117000/117460/b6eb7c9209a0aec31c94f6cf917185aada16eed6/image/jpeg
260486,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/118000/118472/ad60473cf0117adc81d9c1a59d9b934c6801630d/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/118000/118472/e012ffdadeb0cbbc334fd16239a2ccd323ab45ab/image/jpeg/22_01_374.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/118000/118472/e012ffdadeb0cbbc334fd16239a2ccd323ab45ab/image/jpeg
261490,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/119000/119477/caa9a9a15ddcb29c3374de56d8fe24e3a5c1a74c/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/119000/119477/5b8483952c4259bf8ba8aa35db4ef91b78cfc2eb/image/jpeg/22_01_647.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/119000/119477/5b8483952c4259bf8ba8aa35db4ef91b78cfc2eb/image/jpeg
262490,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/120000/120477/3801ec961e2b19d555f53cba7dd824109842d738/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/120000/120477/233ff048b8938e026813a4cba94cfc49c81cf022/image/jpeg/43_T_5_5_2_231.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/120000/120477/233ff048b8938e026813a4cba94cfc49c81cf022/image/jpeg
263494,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/121000/121481/a83c3804dc175b4476c0bf87ba8770fa4bae7213/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/121000/121481/dc6f5f04cf10274a47580460441802f89f586692/image/jpeg/20_Ms_253_7_1.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/121000/121481/dc6f5f04cf10274a47580460441802f89f586692/image/jpeg
264502,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/122000/122489/7b5dba2767f1ec3e724ed9080b9f22a7cb251eb2/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/122000/122489/c0dafa47d709df2f7f16b784a3189a57d618a261/image/jpeg/210_0940.1.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/122000/122489/c0dafa47d709df2f7f16b784a3189a57d618a261/image/jpeg
265534,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/123000/123532/5badaf593b9b22f1915f207bc91166a323a71fc9/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/123000/123532/3d1d23cbaa48c03fcf854891ab391fcc4aedd9a2/image/jpeg/42_AR_5_46.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/123000/123532/3d1d23cbaa48c03fcf854891ab391fcc4aedd9a2/image/jpeg
266535,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/124000/124533/acc781528fd389ec5088eb08ade54b2778974882/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/124000/124533/02035b4758c5b3707980462e172286bcca39b344/image/jpeg/24_0158_186.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/124000/124533/02035b4758c5b3707980462e172286bcca39b344/image/jpeg
267535,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/125000/125533/0a5aead3b43fd4d92dfbc5bfe1baf981895a62b2/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/125000/125533/f2a5da6f2372ab3bf5ab78c682bcf61b6da73459/image/jpeg/42_SG_29_101.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/125000/125533/f2a5da6f2372ab3bf5ab78c682bcf61b6da73459/image/jpeg
268537,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/126000/126535/4643fd97dbe4703c14ab7fb2ba381e532dc41f81/image/png,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/126000/126535/aa69841f180749ce356f8820b2e14702c5c4b6b9/image/tiff/42_HMS_1_51.tif,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/126000/126535/aa69841f180749ce356f8820b2e14702c5c4b6b9/image/tiff
269537,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/127000/127535/d29dcbf5a478645614ee14c61bf83bb697146c93/image/png,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/127000/127535/0a2be9d1b4f94cdeb3cd7418c4dfca0ab74576a3/image/tiff/42_RV_X_5_20_32.tif,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/127000/127535/0a2be9d1b4f94cdeb3cd7418c4dfca0ab74576a3/image/tiff
270604,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/128000/128606/3ee157ab71e179e4681a3fd3f2da40c90cb198f9/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/128000/128606/d9e37cd9c2fdaff3024c4688bc7f0118bc4cf89a/image/jpeg/222_TeoJakob_S17.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/128000/128606/d9e37cd9c2fdaff3024c4688bc7f0118bc4cf89a/image/jpeg
271682,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/129000/129684/2d9830c1183e19a27c15f720787aaab42bc00594/image/png,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/129000/129684/c021638b2f1d18cc20cdb225bbf7c53267f251ec/image/tiff/28_1919_1_BBR_2_S_96.tif,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/129000/129684/c021638b2f1d18cc20cdb225bbf7c53267f251ec/image/tiff
272766,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/130000/130768/c7e25bce57f0259c4f54980ac01918603e532f86/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/130000/130768/dd0c278683922c1ef0dbfd1bb56d941bca685c9d/image/jpeg/126_042B.8.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/130000/130768/dd0c278683922c1ef0dbfd1bb56d941bca685c9d/image/jpeg
273853,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/131000/131855/f9fca5954af804b54bd60377c56dfe1ee14caf07/image/png,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/131000/131855/3cf11e17eaf5b3c04f35f93f0cbcb468e26e30d0/image/tiff/28_S_4_BIB_14_S_208.tif,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/131000/131855/3cf11e17eaf5b3c04f35f93f0cbcb468e26e30d0/image/tiff
277027,https://collections.gta.arch.ethz.ch/eas/partitions-inline/2/0/135000/135029/6273b5f3a631dfe9c198e6b7ab2615a8719f9ae9/image/jpeg,https://collections.gta.arch.ethz.ch/eas/partitions/1/0/135000/135029/52cd0667988624871539b1e164f56c5449a5fa1f/image/jpeg/217_0207_F.1.jpg,https://collections.gta.arch.ethz.ch/eas/partitions-inline/1/0/135000/135029/52cd0667988624871539b1e164f56c5449a5fa1f/image/jpeg
